product,smiles,steps,temp_node,temp_edge,n_raw,n_valid,n_invalid,n_unique,valid_ratio,unique_ratio,mean_tanimoto,n_fp_compared,wall_clock_s,n_known_found,known_found
caffeine,Cn1c(=O)c2c(ncn2C)n(C)c1=O,1,1.2,1.2,20,20,0,5,1.0,0.25,0.3799946725936803,5,0.83,1,['Cn1c(=O)[nH]c2ncn(C)c2c1=O']
caffeine,Cn1c(=O)c2c(ncn2C)n(C)c1=O,1,1.5,1.5,20,20,0,5,1.0,0.25,0.45877543249005887,5,0.82,1,['Cn1c(=O)[nH]c2ncn(C)c2c1=O']
caffeine,Cn1c(=O)c2c(ncn2C)n(C)c1=O,5,1.0,1.0,20,19,1,12,0.95,0.6,0.4673394937904545,12,3.99,2,"['CI', 'Cn1c(=O)[nH]c2ncn(C)c2c1=O']"
caffeine,Cn1c(=O)c2c(ncn2C)n(C)c1=O,5,1.2,1.2,20,20,0,10,1.0,0.5,0.3796455143297764,10,4.1,2,"['CI', 'Cn1c(=O)[nH]c2ncn(C)c2c1=O']"
caffeine,Cn1c(=O)c2c(ncn2C)n(C)c1=O,5,1.5,1.5,20,20,0,11,1.0,0.55,0.4266678869168079,11,3.89,2,"['CI', 'Cn1c(=O)[nH]c2ncn(C)c2c1=O']"
caffeine,Cn1c(=O)c2c(ncn2C)n(C)c1=O,10,1.0,1.0,20,20,0,7,1.0,0.35,0.4580113725075761,7,7.62,2,"['CI', 'Cn1c(=O)[nH]c2ncn(C)c2c1=O']"
caffeine,Cn1c(=O)c2c(ncn2C)n(C)c1=O,10,1.2,1.2,20,19,1,10,0.95,0.5,0.4011741004564124,10,7.69,2,"['CI', 'Cn1c(=O)[nH]c2ncn(C)c2c1=O']"
caffeine,Cn1c(=O)c2c(ncn2C)n(C)c1=O,10,1.5,1.5,20,20,0,11,1.0,0.55,0.4317873265559521,11,7.62,2,"['CI', 'Cn1c(=O)[nH]c2ncn(C)c2c1=O']"
caffeine,Cn1c(=O)c2c(ncn2C)n(C)c1=O,25,1.0,1.0,20,19,1,4,0.95,0.2,0.39106110312860176,4,18.93,1,['CI']
caffeine,Cn1c(=O)c2c(ncn2C)n(C)c1=O,25,1.2,1.2,20,20,0,4,1.0,0.2,0.5604355535812083,4,18.9,1,['CI']
caffeine,Cn1c(=O)c2c(ncn2C)n(C)c1=O,25,1.5,1.5,20,20,0,5,1.0,0.25,0.319533819058736,5,19.85,1,['CI']
caffeine,Cn1c(=O)c2c(ncn2C)n(C)c1=O,50,1.0,1.0,20,20,0,5,1.0,0.25,0.37035075607112694,5,42.89,1,['CI']
caffeine,Cn1c(=O)c2c(ncn2C)n(C)c1=O,50,1.2,1.2,20,20,0,7,1.0,0.35,0.47684620341553374,7,42.05,1,['CI']
caffeine,Cn1c(=O)c2c(ncn2C)n(C)c1=O,50,1.5,1.5,20,20,0,5,1.0,0.25,0.48642414390884403,5,40.52,1,['CI']
menthol,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,1,1.0,1.0,20,20,0,1,1.0,0.05,,0,0.64,0,[]
menthol,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,1,1.2,1.2,20,20,0,1,1.0,0.05,,0,0.63,0,[]
menthol,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,1,1.5,1.5,20,20,0,1,1.0,0.05,,0,0.63,0,[]
menthol,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,5,1.0,1.0,20,20,0,1,1.0,0.05,,0,3.06,0,[]
menthol,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,5,1.2,1.2,20,20,0,1,1.0,0.05,,0,3.11,0,[]
menthol,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,5,1.5,1.5,20,20,0,1,1.0,0.05,,0,3.09,0,[]
menthol,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,10,1.0,1.0,20,20,0,1,1.0,0.05,,0,6.65,0,[]
menthol,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,10,1.2,1.2,20,20,0,1,1.0,0.05,,0,6.34,0,[]
menthol,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,10,1.5,1.5,20,20,0,1,1.0,0.05,,0,7.85,0,[]
menthol,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,25,1.0,1.0,20,20,0,1,1.0,0.05,,0,16.83,0,[]
menthol,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,25,1.2,1.2,20,20,0,1,1.0,0.05,,0,16.03,0,[]
menthol,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,25,1.5,1.5,20,20,0,1,1.0,0.05,,0,15.74,0,[]
menthol,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,50,1.0,1.0,20,20,0,1,1.0,0.05,,0,31.69,0,[]
menthol,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,50,1.2,1.2,20,20,0,1,1.0,0.05,,0,30.95,0,[]
menthol,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,50,1.5,1.5,20,20,0,1,1.0,0.05,,0,25.24,0,[]
benzene,c1ccccc1,1,1.0,1.0,20,20,0,4,1.0,0.2,0.31581196581196586,4,0.34,0,[]
benzene,c1ccccc1,1,1.2,1.2,20,20,0,5,1.0,0.25,0.3005982905982906,5,0.27,0,[]
benzene,c1ccccc1,1,1.5,1.5,20,20,0,4,1.0,0.2,0.31581196581196586,4,0.32,0,[]
benzene,c1ccccc1,5,1.0,1.0,20,20,0,8,1.0,0.4,0.27021397719927126,8,1.32,0,[]
benzene,c1ccccc1,5,1.2,1.2,20,20,0,6,1.0,0.3,0.20542568542568543,6,1.63,0,[]
benzene,c1ccccc1,5,1.5,1.5,20,20,0,6,1.0,0.3,0.20128427128427126,6,1.63,0,[]
benzene,c1ccccc1,10,1.0,1.0,20,18,2,11,0.9,0.55,0.2216256203689359,11,3.28,0,[]
benzene,c1ccccc1,10,1.2,1.2,20,19,1,8,0.95,0.4,0.2145337680526756,8,3.2,0,[]
benzene,c1ccccc1,10,1.5,1.5,20,20,0,4,1.0,0.2,0.13805821371610846,4,3.55,0,[]
benzene,c1ccccc1,25,1.0,1.0,20,20,0,9,1.0,0.45,0.40426089433442375,9,10.12,0,[]
benzene,c1ccccc1,25,1.2,1.2,20,20,0,6,1.0,0.3,0.3459018759018759,6,11.55,0,[]
benzene,c1ccccc1,25,1.5,1.5,20,20,0,6,1.0,0.3,0.22835497835497837,6,8.98,0,[]
benzene,c1ccccc1,50,1.0,1.0,20,19,1,14,0.95,0.7,0.18247524769391482,14,16.96,0,[]
benzene,c1ccccc1,50,1.2,1.2,20,20,0,11,1.0,0.55,0.1780463373331311,11,18.35,0,[]
benzene,c1ccccc1,50,1.5,1.5,20,20,0,7,1.0,0.35,0.23832760376878023,7,22.22,0,[]
